treatment	medium	dose_uM	plateID	timeID	cell_line	imageNumber	locationID	control	variable	value
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	43	F06_1	4	imageCountParentObj	178
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	44	F06_2	4	imageCountParentObj	140
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	45	F07_1	4	imageCountParentObj	113
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	46	F07_2	4	imageCountParentObj	124
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	47	F08_1	4	imageCountParentObj	95
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	48	F08_2	4	imageCountParentObj	116
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	1	C03_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	13.6985703
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	2	C03_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	13.72247274
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	3	C04_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	11.21836803
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	4	C04_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	14.34226493
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	5	C05_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	8.67750791
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	6	C05_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.61662573
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	7	C06_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.304515951
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	8	C06_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	9.547142286
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	9	C07_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.08516467
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	10	C07_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	9.111979189
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	11	C08_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	10.26867302
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	12	C08_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	11.69062033
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	13	D03_1	2	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.736064304
