"treatment"	"plateID"	"dose_uM"	"timeID"	"locationID"	"cell_line"	"variable"	"value"
"DMSO"	"20200220_Exp006_MT_t24"	0	"6"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.30063527481171
"DMSO"	"20200220_Exp006_MT_t24"	0	"7"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.27281266927593
"DMSO"	"20200220_Exp006_MT_t24"	0	"8"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.08295878099396
"DMSO"	"20200220_Exp006_MT_t24"	0	"9"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.0890978889746
"DMSO"	"20200220_Exp006_MT_t24"	0	"10"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.971365340506547
"DMSO"	"20200220_Exp006_MT_t24"	0	"11"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.938697290342292
"DMSO"	"20200220_Exp006_MT_t24"	0	"12"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.908239932356942
"DMSO"	"20200220_Exp006_MT_t24"	0	"13"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.924405493894176
"DMSO"	"20200220_Exp006_MT_t24"	0	"14"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.798761522544731
"DMSO"	"20200220_Exp006_MT_t24"	0	"15"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.867467079140004
