"treatment"	"plateID"	"dose_uM"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"12"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.89388238696742
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"13"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.04804304013217
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"14"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.02117756934451
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"15"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.89028612440685
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"16"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.10573228796857
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"17"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.00544178839621
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"18"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.855314866708838
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"19"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.0708580974093
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"20"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.11761539507714
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"21"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.29056224442839
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"22"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.910264024853247
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"23"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.25588608585214
